chr1 start1 end1 tsrID nTAGs strand chr2 annotation feature start2 end2 score1 strand score2 geneID distanceToGene
40 scaffold_1 1609835 1609835 tsr_49 22 + scaffold_1 maker gene 1609819 1612559 . + . dp_gene152 0
82 scaffold_1 2315646 2315646 tsr_107 22 + scaffold_1 maker gene 2315551 2317258 . + . dp_gene273 0
99 scaffold_1 2741067 2741067 tsr_132 45 + scaffold_1 maker gene 2741055 2757652 . + . dp_gene351 0
105 scaffold_1 3168892 3168892 tsr_146 46 + scaffold_1 maker gene 3166699 3170470 . + . dp_gene394 0
185 scaffold_1 4345071 4345071 tsr_237 51 + scaffold_1 maker gene 4343264 4344469 . + . dp_gene606 602
203 scaffold_1 4623325 4623325 tsr_257 49 + scaffold_1 maker gene 4622104 4628164 . + . dp_gene671 0
207 scaffold_1 4684469 4684469 tsr_261 20 + scaffold_1 maker gene 4684450 4685592 . + . dp_gene688 0
243 scaffold_1 5209612 5209612 tsr_310 21 + scaffold_1 maker gene 5209475 5211749 . + . dp_gene803 0
283 scaffold_1 5708498 5708498 tsr_355 57 + scaffold_1 maker gene 5704552 5715981 . + . dp_gene923 0
284 scaffold_1 5785791 5785791 tsr_356 22 + scaffold_1 maker gene 5783485 5785383 . + . dp_gene937 408
287 scaffold_1 6040034 6040034 tsr_374 44 + scaffold_1 maker gene 6038954 6041054 . + . dp_gene986 0
288 scaffold_1 6040213 6040241 tsr_375 42 + scaffold_1 maker gene 6038954 6041054 . + . dp_gene986 0
289 scaffold_1 6040420 6040448 tsr_376 59 + scaffold_1 maker gene 6038954 6041054 . + . dp_gene986 0
305 scaffold_1 6237458 6237458 tsr_400 21 + scaffold_1 maker gene 6236356 6236702 . + . dp_gene1020 756
313 scaffold_1 6396235 6396240 tsr_408 93 + scaffold_1 maker gene 6392766 6399748 . + . dp_gene1050 0
314 scaffold_1 6396283 6396286 tsr_409 57 + scaffold_1 maker gene 6392766 6399748 . + . dp_gene1050 0
316 scaffold_1 6433961 6433961 tsr_411 52 + scaffold_1 maker gene 6430568 6433694 . + . dp_gene1061 267
329 scaffold_1 6496400 6496400 tsr_425 22 + scaffold_1 maker gene 6496143 6497226 . + . dp_gene1074 0
340 scaffold_1 6620845 6620845 tsr_437 24 + scaffold_1 maker gene 6617845 6620655 . + . dp_gene1104 190
366 scaffold_1 7024042 7024042 tsr_468 71 + scaffold_1 maker gene 7023755 7024635 . + . dp_gene1188 0
376 scaffold_1 7070447 7070447 tsr_478 22 + scaffold_1 maker gene 7070411 7072006 . + . dp_gene1203 0
392 scaffold_1 7090673 7090673 tsr_494 23 + scaffold_1 maker gene 7090662 7092340 . + . dp_gene1208 0
398 scaffold_1 7112111 7112114 tsr_500 1797 + scaffold_1 maker gene 7110929 7111675 . + . dp_gene1215 437
399 scaffold_1 7123757 7123784 tsr_502 176 + scaffold_1 maker gene 7123383 7123870 . + . dp_gene1220 0
424 scaffold_1 7363088 7363162 tsr_530 6099 + scaffold_1 maker gene 7363108 7365848 . + . dp_gene1280 0
425 scaffold_1 7363542 7363542 tsr_531 41 + scaffold_1 maker gene 7363108 7365848 . + . dp_gene1280 0
426 scaffold_1 7363660 7363692 tsr_532 66 + scaffold_1 maker gene 7363108 7365848 . + . dp_gene1280 0
427 scaffold_1 7363820 7363851 tsr_533 43 + scaffold_1 maker gene 7363108 7365848 . + . dp_gene1280 0
428 scaffold_1 7363986 7363988 tsr_534 52 + scaffold_1 maker gene 7363108 7365848 . + . dp_gene1280 0
429 scaffold_1 7364103 7364103 tsr_535 23 + scaffold_1 maker gene 7363108 7365848 . + . dp_gene1280 0
430 scaffold_1 7364515 7364515 tsr_536 43 + scaffold_1 maker gene 7363108 7365848 . + . dp_gene1280 0
431 scaffold_1 7364757 7364757 tsr_537 21 + scaffold_1 maker gene 7363108 7365848 . + . dp_gene1280 0
553 scaffold_1 3952380 3952380 tsr_707 24 - scaffold_1 maker gene 3952809 3958109 . - . dp_gene523 428
603 scaffold_1 4664122 4664129 tsr_762 3188 - scaffold_1 maker gene 4663169 4664139 . - . dp_gene684 0
612 scaffold_1 4803959 4803959 tsr_773 27 - scaffold_1 maker gene 4802435 4803992 . - . dp_gene721 0
626 scaffold_1 5178664 5178732 tsr_793 511 - scaffold_1 maker gene 5178361 5179090 . - . dp_gene798 0
